Empresa,Descripcion,Industria,Origen,Con presencia en:
Accion Verde,"Empresa especializada en reforestacion como medida de compensacion forestal de ley y acciones voluntarias. Medicion de huellas de carbono, hidrica y energetica para la formulacion de politicas y estrategias ambientales corporativas.",Agricultura,Colombia,Colombia
Arroz Blanquita,"ARROZ BLANCO ORGANICO, ARROCES ESPECIALES GOURMET, ARROZ LIMPIOS DE ALTA CALIDAD. A TRAVES DE EL CUIDAMOS EL MEDIO AMBIENTE Y AL SER HUMANO. Nos conocen como empresa sostenible territorial",Agricultura,Colombia,"Colombia, Ecuador"
CAFEXPORT,"Empresa exportadora de cafe, producido bajo estandares de sostenibilidad ambiental, social y economica, generando impactos positivos.",Agricultura,Colombia,Colombia
Calagro,Revalorizacion de conchas de moluscos para la fabricacion de Carbonato de Calcio agricola.,Agricultura,Chile,Chile
Cook Master,Cook Master brinda soluciones gastronomicas integrales para grandes comunidades. Transforman la alimentacion.,Agricultura,Argentina,Argentina
Daterra Coffee,Cafe verde ( nao torrado) de alta qualidade e sustentaveis,Agricultura,Brasil,"Argentina, Australia, Brasil, Canada, Chile, Corea, Espana, Estados Unidos, Francia, Holanda, Italia, Japon, Reino Unido, Rusia, Suiza"
Dolium Bodega Subterranea,Venta de vinos premium y servicios ecoturisticos.,Agricultura,Argentina,Argentina
El Ordeno,Productos lacteos y bebidas,Agricultura,Ecuador,Ecuador
Extensio,"Mediante la innovacion movil, proporcionamos informacion util y oportuna a productores y agentes de campo: alertas climaticas y de plagas, buenas practicas agricolas, vinculacion con la cadena de valor.",Agricultura,Mexico,"Colombia, Ecuador, Mexico"
Fazenda Da Mata Organicos,"Hortalicas, frutas e legumes organicos, certificados pela OIA.",Agricultura,Brasil,Brasil
FAZENDA DA TOCA,"PRODUTOS: OVOS ORGANICOS CAIPIRAS SERVICO: CURSOS, VISITAS E VIVENCIAS",Agricultura,Brasil,Brasil
FRUANDES,"Fruta deshidratada, panela y cacao organica y de comercio justo",Agricultura,Colombia,Colombia
Genetica del Este S.A.,"En Genetica del Este SA nuestro principal producto es un ganado bovino de bajo costo de mantenimiento y alta adaptabilidad, con el objetivo de producir la mayor cantidad de kilos de carne por hectarea mediante el uso eficiente de los recursos que manejamos.",Agricultura,Argentina,Argentina
Green Factory,"Consultoria para construcciones sostenibles, certificaciones ambientales (LEED, EDGE y demas)",Agricultura,Colombia,Colombia
Guayaki Latin America,"En Guayaki hacemos yerba mate, mates y bombillas.",Agricultura,Argentina,"Brasil, Estados Unidos, Paraguay"
Heincke SAS,Panela y frutas en diferentes presentaciones y certificaciones,Agricultura,Colombia,"Colombia, Estados Unidos, Reino Unido"
Hortifrut,Arandanos convencionales y organicos,Agricultura,Chile,"Brasil, Chile, Mexico, Peru"
Iniciativa Agronegocios,Eucalipto.,Agricultura,Brasil,Brasil
Inka Moss,Musgo blanco (sphagnum moss) procesado de forma natural y ofrecido en distintas presentaciones,Agricultura,Peru,Peru
Integra,"Porciones de salmon en diversas preparaciones y formatos de empaque, orientados a consumidores de retail en los principales mercados internacionales.",Agricultura,Chile,Chile
IRCA SRL,"IRCA SRL brinda servicio de recupero de materiales reciclables a grandes generadores (empresas, municipios, etc). Realiza desde la gestion de recursos y logistica hasta la compra de materiales ya valorizados. IRCA SRL tambien realiza el reciclado de materiales plasticos y ofrece un servicio a terceros de molienda y extrucion.",Agricultura,Argentina,Argentina
Las Mazamorras de Uraba,Elaboracion de alimentos tipicos a base de Miaz y pulpa de banano.,Agricultura,Colombia,Colombia
Lohas Beans SAS BIC,Cafe verde y tostado,Agricultura,Colombia,"Colombia, Japon"
Luxelare,"Luxelare es una empresa agro-tech, que ofrece a productores agricolas y grupos agro-industriales una solucion integral, combinando agricultura de precision con sensores en campo, vision artificial, una plataforma propietaria de analisis avanzado de datos (CAPTUM) y la Academia Luxelare.",Agricultura,Mexico,Mexico
Manada Carnes Naturales,"Carnes de carne bovina, producidos bajo un sistema regenerativo de praderas",Agricultura,Chile,Chile
METROpallets,Pallets de madera reciclados,Agricultura,Argentina,Argentina
Nahua LLC,Cacao y Chocolate,Agricultura,Costa Rica,Costa Rica
Nucleo Ambiental S.A.S.,"Soluciones Holisticas en produccion agropecuaria urbana y rural , Soluciones ambientales de bioremediacion (suelos y aguas ) y disminucion de la huella de carbona",Agricultura,Colombia,"Colombia, Ecuador"
Organic life,"Huevos, vegetales y frutas organicas certificadas",Agricultura,Ecuador,Ecuador
Ovis 21,"En Ovis 21 hacemos capacitacion, certificacion y asesoria tecnica en Ganaderia Regenerativa.",Agricultura,Argentina,"Argentina, Chile, Paraguay, Uruguay"
Pacific Nut,"Nueces, almendras, ciruelas deshidratadas y pasas.",Agricultura,Chile,Chile
Porta Hermanos,"Porta es una empresa familiar que, en la actualidad, se ha diversificado notablemente y cuenta con 7 divisiones de negocios: Consumo Masivo, Alcohol Etilico a Granel, Carbonato de Calcio, Gas Carbonico, Quimosina, Servicios Tecnologicos y Mini-destilerias.",Agricultura,Argentina,Argentina
Republica del Cacao,Republica del Cacao crea chocolate fino de aroma de alta gama con materia prima latinoamericana. La empresa posee dos unidades de negocio: linea B2B (uso profesional) y linea B2C (retail).,Agricultura,Ecuador,"Argentina, Australia, Chile, Colombia, Ecuador, Estados Unidos, Peru"
Rizoma Agricultura Regenerativa SA,Alimentos,Agricultura,Brasil,Brasil
SanCoffee,Rebeneficiamento e exportacao de Cafe em grao (verde),Agricultura,Brasil,Brasil
Selletiva,Sistema de Gestao de Informacoes para residuos/Lixo (Logistica Reversa).,Agricultura,Brasil,Brasil
SICLO RURAL,En Siclo Rural nos ocupamos de la recoleccion y el reciclado de residuos plasticos rurales.,Agricultura,Argentina,"Argentina, Uruguay"
Sinba,Programa #sinbasura: gestion circular de residuos para empresas de alimentos,Agricultura,Peru,Peru
Sistema Biobolsa,,Agricultura,Mexico,"Colombia, India, Kenia, Nicaragua, Mexico"
Sol Organica,"Pures, Jugos, Frutas secas a granel y polvos organicos: Pitaya, Mango, Banano, Maracuya, Papaya y Coco.",Agricultura,Nicaragua,"Estados Unidos, Nicaragua"
STC Sunbelt SpA,"Empresa de energia solar: instalacion, monitoreo y control de energia por medio de paneles solares.",Agricultura,Chile,"Argentina, Brasil, Chile, Peru, Uruguay"
Sustenta Ingenieria,Ingenieria en refrigeracion industrial y comercial,Agricultura,Chile,Chile
Terra Vista Gestora de Recursos Ltda.,Creditos de Carbono,Agricultura,Brasil,--
Tierra de Monte,Insumos para el sector primario hechos a partir de biotecnologia,Agricultura,Mexico,Mexico
Tonka,"Tonka SA ofrece partes y componentes para artefactos de gas domesticos, ademas de sistemas de bombeo fotovoltaicos y sistemas de generacion electrica fotovoltaica.",Agricultura,Argentina,Argentina
Trasiego Wines S.A.,Producimos y comercializamos vinos que rescatan a pequenos productores de los principales valles de Chile.,Agricultura,Chile,Chile
Valle y Pampa Peru,"Arandanos, Esparragos y Granadas",Agricultura,Peru,Peru
VerdeAgua Hidroponia,"La empresa comercializa vegetales de hoja hidroponicos, listos para consumir. Principalmente se trata de mezclas de lechugas Salanova, rucula, albahaca, berro, kale y otros vegetales de hoja baby.",Agricultura,Uruguay,Uruguay
Vina Polkura,Vino embotellado.,Agricultura,Chile,Chile
Wasi Organics,Productos gourmet y snacks organicos,Agricultura,Peru,Peru
Wild Patagonia Foods,"Berries nativos de la Patagonia deshidratados, en formato snack y en polvo, con alto contenido de antioxidantes.",Agricultura,Chile,Chile
